id;qty_sold;price_per_unit;lot_number;expirydate;total_amount;gst_amount;description;last_modified;last_modified_by
1;18169;52851;payment;2022-03-08T00:30:50;26908;23310;reboot Focused;2022-03-07T21:53:52;Mews
2;93300;47619;input;2022-03-08T11:45:06;37832;1300;gold;2022-03-07T21:16:58;Carolina system
3;93570;29167;quantify Buckinghamshire Fully-configurable;2022-03-07T22:10:09;52532;50441;parse Jewelery Chad;2022-03-08T02:58:18;Hat Architect withdrawal
4;45736;80790;proactive Forward seamless;2022-03-08T12:14:53;32827;7477;primary;2022-03-07T21:02:53;Overpass aggregate
5;77220;21948;Engineer yellow cross-platform;2022-03-07T16:42:28;82174;38829;transmitter input;2022-03-08T10:05:13;hierarchy
6;51901;41414;Cheese;2022-03-07T19:25:49;27094;76353;Island Ohio;2022-03-07T17:54:26;withdrawal
7;98029;2048;generate;2022-03-08T10:22:03;88153;29029;facilitate;2022-03-07T18:48:19;Architect experiences Assistant
8;36688;47615;deposit Orchestrator;2022-03-07T16:42:38;11639;1582;Director;2022-03-08T06:59:00;budgetary
9;313;93647;feed Generic;2022-03-07T14:05:18;6427;61973;up;2022-03-07T15:32:53;Loan RAM
10;20585;63173;port generate;2022-03-08T05:50:05;54018;40741;Data Liaison;2022-03-08T04:01:03;Total Industrial Multi-layered
