id;gr_date;qty_ordered;qty_recieved;manufacturing_date;expiry_date;lot_no;free_field_1;free_field_2;free_field_3
1;2022-03-07T17:11:47;22051;54709;2022-03-07T13:16:57;2022-03-07T17:21:23;Industrial;policy transmitting Assimilated;Cambridgeshire;back-end Intelligent input
2;2022-03-07T21:08:24;25076;56431;2022-03-07T17:11:28;2022-03-07T14:41:23;bypassing North auxiliary;SAS Legacy;repurpose grow Producer;concept orchid open-source
3;2022-03-07T17:26:10;27953;89123;2022-03-08T09:10:25;2022-03-08T11:18:26;withdrawal executive users;Investment International open-source;navigate calculating;Ohio Fish
4;2022-03-07T15:26:09;67270;8751;2022-03-08T00:29:20;2022-03-08T04:59:05;Maine reboot program;e-business end-to-end stable;blue backing;Wooden mobile Cross-group
5;2022-03-08T12:23:21;94504;48494;2022-03-08T11:20:20;2022-03-07T22:46:23;Uruguay;copying;Views Incredible Isle;array
6;2022-03-07T17:48:54;58819;96365;2022-03-08T04:23:01;2022-03-08T09:36:38;Mouse Avon Frozen;Quality Cheese calculate;Decentralized Cotton calculate;Barbados invoice
7;2022-03-07T16:52:11;87470;55292;2022-03-07T13:23:23;2022-03-08T00:58:28;calculating;Avon Cotton;Personal Cambridgeshire National;Assurance Georgia
8;2022-03-08T08:33:05;27534;78563;2022-03-08T04:01:28;2022-03-07T19:53:31;alarm JBOD e-markets;archive value-added Refined;reboot explicit;Ball United
9;2022-03-07T18:06:26;98088;11251;2022-03-08T00:16:48;2022-03-08T04:09:41;envisioneer;Industrial Extension 5th;Supervisor;Licensed
10;2022-03-08T08:59:50;51825;51014;2022-03-08T01:09:50;2022-03-08T04:23:29;multimedia AI connecting;Points magnetic Lock;Markets Refined payment;Account York
