id;massage;notification_type;is_action_required;last_modified;last_modified_by
1;Rustic Throughway;APPROVAL;true;2022-03-07T18:42:56;port
2;Switzerland Granite transmitting;TRANSFER;false;2022-03-08T04:16:44;Executive
3;reboot payment;ALERT;true;2022-03-07T21:00:25;District synthesizing
4;partnerships Virtual Strategist;REQUEST;false;2022-03-07T17:02:34;Intelligent
5;alarm compressing;TRANSFER;false;2022-03-07T16:05:47;payment Health parallelism
6;Health technologies;REQUEST;false;2022-03-08T02:57:11;Washington generation generate
7;Bacon Chair workforce;REQUEST;true;2022-03-08T02:20:12;wireless mobile Skyway
8;withdrawal Myanmar architectures;ALERT;false;2022-03-07T18:25:55;infrastructures
9;Cambridgeshire Account Borders;ALERT;false;2022-03-08T03:41:48;Forward circuit Home
10;program Mexican;REQUEST;false;2022-03-08T11:50:46;navigate override
