id;transfer_date;qty_transfered;qty_received;comment;free_field_1;last_modified;last_modified_by;is_deleted;is_active
1;2022-03-07T14:21:54;16140;55327;synthesize;Games;2022-03-07T15:15:47;Solutions Texas Freeway;true;true
2;2022-03-08T11:17:47;37272;24787;Marketing;Reverse-engineered;2022-03-08T00:50:38;Handcrafted;true;true
3;2022-03-08T02:53:16;5264;8202;Viaduct;Granite;2022-03-07T17:52:55;executive Guinea Steel;true;true
4;2022-03-08T04:31:30;53460;85207;lime Towels;Soft;2022-03-08T07:49:39;XSS;false;true
5;2022-03-07T16:21:06;93600;95583;Gloves;communities Steel;2022-03-08T03:28:50;web-enabled deploy;true;true
6;2022-03-07T18:48:16;35940;67612;architectures;Incredible;2022-03-08T01:04:02;hierarchy incentivize;false;true
7;2022-03-08T01:58:48;36184;3856;IB convergence transmitting;white;2022-03-08T09:00:20;parsing solutions benchmark;true;false
8;2022-03-08T08:31:46;70894;73282;payment Granite synthesize;Principal Tools deposit;2022-03-08T02:11:06;Sleek Producer orchid;false;true
9;2022-03-07T14:53:12;55566;36601;redundant pink background;Rupee markets;2022-03-08T13:00:06;optimal;true;false
10;2022-03-08T06:05:42;7229;21797;Minnesota;Focused Research;2022-03-07T17:01:57;port;false;true
