id;inward_outward_date;inward_qty;outward_qty;total_quanity;price_per_unit;lot_no;expiry_date;inventory_type_id;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;2022-03-08T10:52:14;1080p niches conglomeration;white Maine District;Mountains;67008;quantify;2022-03-08T04:18:42;quantifying Creative transform;Somalia Netherlands homogeneous;teal Shoes calculate;2022-03-07T22:07:30;alarm;false;false
2;2022-03-07T13:13:41;generating;transition Pierre;payment;30369;evolve Analyst Berkshire;2022-03-08T10:12:05;Cotton deliver Licensed;Books Buckinghamshire;dedicated redundant Borders;2022-03-08T11:08:26;back-end Sweden Nebraska;true;false
3;2022-03-07T16:46:53;frictionless Bedfordshire;vortals Sleek;viral;78682;next-generation pixel Soap;2022-03-08T00:38:02;leading withdrawal;USB Arab withdrawal;Supervisor mobile Manager;2022-03-08T07:34:29;Tactics Rhode Industrial;true;false
4;2022-03-07T19:25:43;customized Versatile;functionalities Mouse Investor;1080p Berkshire;56028;JSON Pants;2022-03-07T16:25:53;Leu Ergonomic;multi-tasking Agent pink;Small;2022-03-07T22:45:06;alarm;false;false
5;2022-03-08T07:03:53;Buckinghamshire virtual Avon;Crescent Berkshire;Borders Credit Extended;93590;transmitter systemic invoice;2022-03-08T11:05:15;online Account Internal;Canyon;up;2022-03-08T11:40:52;matrix Strategist;false;true
6;2022-03-07T19:00:27;withdrawal;engage programming recontextualize;Kroon;83037;Tasty Legacy;2022-03-08T02:20:30;Officer invoice;deposit Planner array;Cedi Sleek Movies;2022-03-08T11:39:57;User-friendly;true;false
7;2022-03-08T12:58:16;Peso Oklahoma;regional;Ergonomic India Human;74054;Facilitator;2022-03-08T09:08:00;Manat Handmade;ADP hybrid;Assurance;2022-03-08T08:33:53;program Consultant;false;false
8;2022-03-08T02:13:38;virtual HDD;deposit Iranian;streamline dynamic Hampshire;15879;application web-readiness Salad;2022-03-08T01:05:59;Specialist Guinea-Bissau;Chair;bluetooth connecting XML;2022-03-08T09:56:18;Account Frozen;true;true
9;2022-03-08T06:32:32;Barbados quantify Ports;face FTP;mobile calculate;42261;Concrete;2022-03-08T06:56:21;state;mobile;quantify alarm Program;2022-03-08T08:41:27;target Cape;true;false
10;2022-03-08T12:49:16;composite Oregon;discrete;JBOD Rustic digital;40914;quantify compressing Producer;2022-03-08T00:55:00;Avon methodologies Assurance;Lakes;Wooden;2022-03-07T21:52:54;Central hacking optimize;false;true
