id;approval_date;qty;comment;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;2022-03-08T07:20:07;13957;back Supervisor;(Malvinas) Concrete internet;indexing;2022-03-07T16:27:26;tangible;false;true
2;2022-03-07T20:06:44;84501;Cambridgeshire;Benin Georgia;Data back-end;2022-03-08T00:13:09;withdrawal Intelligent Industrial;true;false
3;2022-03-08T06:27:37;15615;SSL Towels;systemic Functionality orchid;Kids connecting;2022-03-08T04:52:30;Personal;false;false
4;2022-03-07T18:37:29;62592;Argentina;Small XML Global;Soft markets Implementation;2022-03-08T10:19:34;navigating Communications quantify;false;true
5;2022-03-07T13:26:41;78290;Arkansas Outdoors;system Cordoba;Functionality;2022-03-07T14:54:09;Wyoming;true;true
6;2022-03-07T18:38:11;53859;Iceland;Refined;Facilitator;2022-03-08T00:30:45;didactic RSS;true;false
7;2022-03-08T11:23:21;30564;relationships Cheese Yemen;copying Account;Uganda;2022-03-07T16:05:23;District Fish Iran;true;false
8;2022-03-07T13:23:26;89054;Grass-roots;cutting-edge Chilean;hack;2022-03-08T06:40:12;tan;false;false
9;2022-03-08T00:33:23;96787;methodologies;violet orchestration Producer;AI Refined Account;2022-03-07T23:48:09;SMS;false;false
10;2022-03-08T05:34:05;43538;Tanzania Fresh Dollar;copying;ivory Cambridgeshire;2022-03-08T09:38:32;Senior migration;true;false
