id;approval_date;qty_requested;qty_approved;comment;free_field_1;last_modified;last_modified_by;is_deleted;is_active
1;2022-03-08T06:59:41;86605;31385;parsing Account cross-media;Gambia systemic Cyprus;2022-03-07T18:50:34;View Industrial;true;true
2;2022-03-08T08:37:42;73418;53655;analyzer backing;SAS HTTP context-sensitive;2022-03-08T04:26:56;Glen back-end Planner;true;false
3;2022-03-08T07:31:20;31960;47318;Implemented;leverage Dakota;2022-03-07T13:43:20;back-end;true;true
4;2022-03-08T06:12:53;68724;34831;Accounts;web Republic;2022-03-08T10:49:23;Plastic;true;true
5;2022-03-08T09:14:17;33218;75425;synthesizing Account;Frozen;2022-03-07T14:11:43;digital navigate methodical;true;true
6;2022-03-07T19:25:27;19444;57426;payment;circuit Investor Barthelemy;2022-03-08T00:53:02;Tasty;false;true
7;2022-03-08T02:16:56;1682;43724;overriding;Loan Jordanian Republic;2022-03-08T09:28:13;New;true;false
8;2022-03-07T19:48:39;31965;61801;5th Multi-layered;Electronics program Small;2022-03-08T00:11:22;Cambridgeshire Greece;false;false
9;2022-03-08T01:19:49;95647;62807;hacking indigo Towels;blockchains Avon;2022-03-07T23:52:56;engage;false;false
10;2022-03-08T11:49:05;42301;24218;alarm panel Incredible;Bedfordshire Plastic Towels;2022-03-07T21:23:54;Rubber compressing Sausages;false;false
